Gender,Stat,Age,5th,10th,25th,50th,75th,90th,95th
M,W,29.5,11.28293,11.71368,12.4849,13.42519,14.46462,15.4961,16.16177
M,W,30.5,11.39782,11.8317,12.60983,13.56088,14.61527,15.66485,16.34395
M,W,31.5,11.513,11.95005,12.73523,13.69738,14.76732,15.83588,16.52915
M,W,32.5,11.62869,12.069,12.86144,13.83505,14.92117,16.00958,16.71773
M,W,33.5,11.74508,12.18875,12.9887,13.97418,15.07711,16.18624,16.91
M,W,34.5,11.8623,12.30948,13.11723,14.11503,15.23541,16.36612,17.10619
M,W,35.5,11.98046,12.43132,13.24721,14.2578,15.39628,16.5494,17.30646
M,W,36.5,12.09962,12.55436,13.37875,14.40263,15.55987,16.73623,17.51093
M,W,37.5,12.21984,12.67868,13.51197,14.54965,15.7263,16.9267,17.71965
M,W,38.5,12.34115,12.80431,13.64693,14.69893,15.89565,17.12085,17.93265
M,W,39.5,12.46354,12.93128,13.78366,14.85054,16.06797,17.3187,18.14992
M,W,40.5,12.58701,13.05959,13.92218,15.00449,16.24326,17.52025,18.37141
M,W,41.5,12.71154,13.18923,14.0625,15.16078,16.42153,17.72545,18.59705
M,W,42.5,12.8371,13.32017,14.20458,15.3194,16.60273,17.93424,18.82675
M,W,43.5,12.96366,13.45238,14.3484,15.4803,16.78682,18.14654,19.06041
M,W,44.5,13.09119,13.58581,14.49391,15.64343,16.97373,18.36226,19.29789
M,W,45.5,13.21963,13.72043,14.64105,15.80873,17.16336,18.58128,19.53907
M,W,46.5,13.34895,13.85618,14.78977,15.9761,17.35564,18.80348,19.78381
M,W,47.5,13.47911,13.99301,14.93998,16.14548,17.55044,19.02875,20.03197
M,W,48.5,13.61006,14.13086,15.09163,16.31677,17.74767,19.25695,20.28339
M,W,49.5,13.74176,14.26968,15.24463,16.48986,17.9472,19.48794,20.53795
M,W,50.5,13.87418,14.40943,15.39892,16.66468,18.14892,19.7216,20.79548
M,W,51.5,14.00727,14.55004,15.55441,16.8411,18.3527,19.95779,21.05586
M,W,52.5,14.14102,14.69148,15.71103,17.01904,18.55842,20.19637,21.31896
M,W,53.5,14.2754,14.8337,15.86872,17.19839,18.76598,20.43722,21.58464
M,W,54.5,14.41037,14.97666,16.0274,17.37906,18.97524,20.68022,21.8528
M,W,55.5,14.54593,15.12032,16.18701,17.56096,19.1861,20.92526,22.12331
M,W,56.5,14.68205,15.26465,16.34748,17.744,19.39846,21.17222,22.3961
M,W,57.5,14.81872,15.40962,16.50877,17.92809,19.6122,21.421,22.67106
M,W,58.5,14.95595,15.55521,16.67081,18.11316,19.82724,21.67152,22.94813
M,W,59.5,15.09371,15.70139,16.83356,18.29912,20.04348,21.92369,23.22723
